Species	12SRRN	16SRRN	28SRRN	ATP6	ATP8	BDNF	COX1	COX2	COX3	CXCR4	CYTB	NAD1	NAD2	NAD3	NAD4	NAD4L	NAD5	NAD6	NCX1	POMC	RAG1	RAG2	RHOD	SIA	SLC8A3	TYR
Allobates_nidicola	EU342519.1	EU342519.1	DQ502980.1	-	-	-	-	-	-	-	DQ502645.1	-	-	-	-	-	-	-	-	-	DQ503352.1	-	DQ503241.1	DQ503102.1	-	-
Allobates_niputidea	-	KP149439.1	-	-	-	-	KP149233.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Allobates_ornatus	EU342550.1	EU342550.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Allobates_paleovarzensis	-	JQ966863.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Allobates_pittieri	-	EU380806.1	-	-	-	-	EU380858.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Allobates_ranoides	EU342692.1	EU342692.1	-	-	-	-	KJ130662.1	-	-	-	-	-	-	-	-	-	-	-	-	KJ871619.1	-	-	-	-	-	-
Allobates_spumaponens	KC520681.1	KC520682.1	-	-	-	-	KC520688.1	-	-	-	KC520692.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	KC520697.1
Allobates_subfolionidificans	-	KF250493.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Allobates_sumtuosus	-	KF250496.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Allobates_talamancae	EU342513.1	HQ290974.1	DQ503004.1	-	-	HQ290612.1	DQ502868.1	-	-	-	HQ290552.1	HQ290974.1	HQ290974.1	-	-	-	-	-	HQ290732.1	HQ290852.1	DQ503363.1	-	DQ503250.1	DQ503114.1	-	HQ290912.1
Allobates_tapajos	-	KX524489.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
